Name,ID Competição,Classe Vela,Position,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
MONCADA SANCHEZ Ana (ESPAM89) F01,7,Ilca 6,"21
21.0",G,49,,440,374,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
VITTECOQ Coralie (CANCV7)               F97,7,Ilca 6,"50
50.0",G,50,,435,379,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
CALDECOAT Paige (AUSPC34)             F01,7,Ilca 6,"54
54.0",G,51,,448,382,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
PENRUDDOCKE Adriana (BERAP3)     F00,7,Ilca 6,"35
35.0",G,52,,443,386,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
RADULIC Mailys (FRAMR54)                 F03,7,Ilca 6,"55
55.0",G,53,,446,388,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
STANNAGE Sylvie (AUSSS43)              F02,7,Ilca 6,"51
51.0",G,54,,452,395,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
JUNG Hyewon (KORHJ13)                     F04,7,Ilca 6,"58
   (58.0)",G,55,,454,396,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
LUBAC Thea (FRATL51)                         F04,7,Ilca 6,"53
53.0",G,56,,472,414,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
JORDAN Agustina (CHIAJ1)                  F01,7,Ilca 6,"56
56.0",G,57,,479,422,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
PARK Jeongbin (KORJP14)                   F04,7,Ilca 6,"60
   (60.0)",G,58,,497,437,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
MANSY Khouloud (EGYKM1)                F98,7,Ilca 6,"57
57.0",G,59,,512,451,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
ROIHU Katariina (ESTKR11)                  F05,7,Ilca 6,"59
59.0",G,60,,531,469,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
NAUMENKO Sofiia (UKRSN6)               F98,7,Ilca 6,"49
49.0",G,61,,558,496,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
RAAMAT Eliise (ESTER3)                      F04,7,Ilca 6,"61
   (61.0)",G,62,,565,504,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
NORSELL Michala (DENMN14)             F99,7,Ilca 6,"RET
   (66.0)",G,63,,600,534,Semaine Olympique Francaise De Voile 2022,"Ra. 2
1"
